objectid,lad20cd,lad20nm,lad20nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
193,E07000179,South Oxfordshire, ,463890,191964,-1.07847,51.622879,678521428.259039,205400.226544238
194,E07000180,Vale of White Horse, ,435693,195197,-1.48543,51.65443,578660264.122091,175977.202778797
195,E07000181,West Oxfordshire, ,434343,215816,-1.50292,51.839901,714422027.138744,160247.897555093
196,E07000187,Mendip, ,362238,144090,-2.54178,51.194759,739435423.569122,198850.077405151
197,E07000188,Sedgemoor, ,338429,143998,-2.88246,51.19186,605947562.090008,203178.006584168
198,E07000189,South Somerset, ,345633,120798,-2.77588,50.98399,959058128.465211,240610.663292542
199,E07000192,Cannock Chase, ,401261,311553,-1.98277,52.70166,78882570.493234,50127.6044538359
200,E07000193,East Staffordshire, ,412601,326569,-1.81438,52.83651,389987162.124039,183696.396809274
201,E07000194,Lichfield, ,416283,310967,-1.76049,52.696152,331294334.024327,127468.406693597
202,E07000195,Newcastle-under-Lyme, ,378199,345174,-2.32631,53.003448,210957319.413958,108259.28664405
203,E07000196,South Staffordshire, ,389625,311037,-2.15495,52.696918,407322253.355032,184894.339545129
204,E07000197,Stafford, ,389001,327836,-2.16475,52.847919,598172233.422378,159078.806627566
205,E07000198,Staffordshire Moorlands, ,400543,352443,-1.99334,53.069241,575849820.802265,152448.185289631
206,E07000199,Tamworth, ,421455,302550,-1.68451,52.620312,30850716.1908957,30730.062535896
207,E07000200,Babergh, ,599987,244692,0.916149,52.064499,611640098.923159,171676.216353506
208,E07000202,Ipswich, ,617161,244456,1.166145,52.05592,40300126.8435157,36991.931514346
209,E07000203,Mid Suffolk, ,611646,262338,1.096953,52.21859,871070645.727276,191154.673181992
210,E07000207,Elmbridge, ,511882,163658,-0.39441,51.360981,96334275.3882581,52206.1263724971
211,E07000208,Epsom and Ewell, ,521176,161475,-0.26172,51.339451,34079152.9616357,28503.7008598098
212,E07000209,Guildford, ,500408,151481,-0.56257,51.253658,270931189.745857,128414.496364036
213,E07000210,Mole Valley, ,518377,148953,-0.30603,51.227489,258320953.45333,105403.17883423
214,E07000211,Reigate and Banstead, ,525786,152574,-0.19871,51.258461,129143925.112386,79923.6802028722
215,E07000212,Runnymede, ,501777,166979,-0.53855,51.392731,78040686.1823478,45677.4092821211
216,E07000213,Spelthorne, ,507012,169622,-0.46254,51.41552,51161362.5426408,44134.5375970838
217,E07000214,Surrey Heath, ,491362,160483,-0.68986,51.336102,95092959.1754101,53559.7241713519
218,E07000215,Tandridge, ,536365,150325,-0.04805,51.235809,248194569.368687,83136.9028111224
219,E07000216,Waverley, ,496363,140635,-0.62343,51.15686,345170236.682547,125436.056342784
220,E07000217,Woking, ,499087,157542,-0.57982,51.308369,63603603.8398227,54781.5015969527
221,E07000218,North Warwickshire, ,425570,296399,-1.6242,52.564838,284261503.631312,113230.602690989
222,E07000219,Nuneaton and Bedworth, ,435419,289352,-1.47965,52.500938,78950291.8125113,48148.709108183
223,E07000220,Rugby, ,446498,276244,-1.31828,52.382278,353557281.061627,115093.651913593
224,E07000221,Stratford-on-Avon, ,425019,251536,-1.63565,52.161541,977869054.895261,261384.087125628
225,E07000222,Warwick, ,428484,267113,-1.58369,52.301418,282882321.016032,116717.479258945
226,E07000223,Adur, ,518076,106472,-0.32417,50.845718,43647944.0578979,35424.5896185668
227,E07000224,Arun, ,495144,105723,-0.64999,50.843208,224703270.482844,115968.695327948
228,E07000225,Chichester, ,490285,116600,-0.7163,50.941769,812415105.363319,170434.643533395
229,E07000226,Crawley, ,526390,137581,-0.19533,51.123569,44971204.9727055,38799.7232795775
230,E07000227,Horsham, ,513674,123840,-0.38126,51.00272,530962111.977744,157501.151848552
231,E07000228,Mid Sussex, ,533054,130623,-0.10272,51.059528,334029222.418471,132912.373445884
232,E07000229,Worthing, ,512679,104948,-0.40127,50.833099,33783057.0354008,29098.0913418163
233,E07000234,Bromsgrove, ,399840,273736,-2.00376,52.361691,216968481.075695,113135.446682068
234,E07000235,Malvern Hills, ,377465,252197,-2.33089,52.16758,577070981.906401,230605.757036437
235,E07000236,Redditch, ,403705,265253,-1.9471,52.285412,54250912.0736285,41301.8190573029
236,E07000237,Worcester, ,385725,255196,-2.21025,52.19482,33278124.8683324,31263.066229589
237,E07000238,Wychavon, ,398991,247839,-2.01614,52.12886,663541973.671781,219520.151476956
238,E07000239,Wyre Forest, ,384106,276388,-2.23494,52.3853,195403719.201686,100867.383930278
239,E07000240,St Albans, ,514580,209623,-0.3407,51.77356,161205874.05961,72946.341585292
240,E07000241,Welwyn Hatfield, ,525345,208467,-0.18518,51.760872,129536895.734238,82392.0596450882
241,E07000242,East Hertfordshire, ,537995,220370,0.002739,51.864849,475669101.994582,135188.279171716
242,E07000243,Stevenage, ,524622,224531,-0.18987,51.905392,25969241.2793986,28588.2613575748
243,E07000244,East Suffolk, ,636043,266272,1.456186,52.243992,1294765895.14783,245813.283027904
244,E07000245,West Suffolk, ,580944,271124,0.652769,52.308418,1034675784.57658,274547.779729517
245,E07000246,Somerset West and Taunton, ,304960,130228,-3.35766,51.06348,1210542984.55571,279284.259003137
246,E08000001,Bolton, ,368352,409873,-2.47952,53.584492,139792042.627351,82647.1577312727
247,E08000002,Bury, ,379658,410768,-2.3088,53.593102,99460126.9019728,68541.7597922021
248,E08000003,Manchester, ,384591,397063,-2.23359,53.470089,115648368.019406,86856.3996573041
249,E08000004,Oldham, ,396603,406784,-2.05274,53.557678,142344917.30402,71165.7315376996
250,E08000005,Rochdale, ,390315,412326,-2.14784,53.60741,158128175.084324,82713.1547276766
251,E08000006,Salford, ,374556,398128,-2.38485,53.479271,97197278.820746,63268.7941726678
252,E08000007,Stockport, ,391806,388264,-2.12467,53.391159,126040311.081679,73638.7202371421
253,E08000008,Tameside, ,394987,397995,-2.077,53.478668,103154292.392485,55989.0752712178
254,E08000009,Trafford, ,375790,391162,-2.36572,53.41671,106044612.389868,60718.087212353
255,E08000010,Wigan, ,362136,402126,-2.57247,53.51445,188171013.043684,88690.4959013805
256,E08000011,Knowsley, ,344762,393778,-2.83297,53.437881,86500060.7557349,68167.369163693
257,E08000012,Liverpool, ,339361,390553,-2.91364,53.408298,133533740.548848,67269.7437016708
258,E08000013,St. Helens, ,353412,395992,-2.7031,53.458618,136358792.987275,76387.0358430471
259,E08000014,Sefton, ,334282,398832,-2.99177,53.482101,202755835.171432,115848.991646089
260,E08000015,Wirral, ,329110,386965,-3.06701,53.374779,253246046.654307,84920.4997743372
261,E08000016,Barnsley, ,429979,403327,-1.54925,53.525768,329077594.567818,126421.141800593
262,E08000017,Doncaster, ,459167,403735,-1.10894,53.52697,568551285.436518,135159.89836598
263,E08000018,Rotherham, ,447542,388980,-1.28651,53.395531,286534367.629406,106151.964218009
264,E08000019,Sheffield, ,430511,389736,-1.54254,53.40358,367930014.5698,132837.299228904
265,E08000021,Newcastle upon Tyne, ,422287,569662,-1.65297,55.021011,115117802.743082,61724.7913202971
266,E08000022,North Tyneside, ,431471,570602,-1.50923,55.028961,84823244.7814564,65358.1379863262
